input position,input joint,output joint
"(-0.11, -0.31)","(-0.59, -2.83)","(-0.5, -2.81)"
"(-0.11, -0.64)","(-0.47, -2.52)","(-0.5, -2.48)"
"(-0.11, -0.64)","(-0.56, -2.43)","(-0.5, -2.48)"
"(-0.11, -0.64)","(-0.59, -2.53)","(-0.5, -2.48)"
"(-0.11, -0.64)","(-0.43, -2.39)","(-0.5, -2.48)"
"(-0.11, -0.64)","(-0.58, -2.43)","(-0.5, -2.48)"
"(-0.11, -0.64)","(-0.54, -2.39)","(-0.5, -2.48)"
"(-0.11, -0.64)","(-0.58, -2.52)","(-0.5, -2.48)"
"(-0.11, -0.64)","(-0.56, -2.51)","(-0.5, -2.48)"
"(-0.11, -0.64)","(-0.53, -2.46)","(-0.5, -2.48)"
"(-0.11, -0.64)","(-0.43, -2.51)","(-0.5, -2.48)"
"(-0.11, -0.64)","(-0.44, -2.45)","(-0.5, -2.48)"
"(-0.11, -0.64)","(-0.51, -2.46)","(-0.5, -2.48)"
"(-0.11, -0.64)","(-0.52, -2.57)","(-0.5, -2.48)"
"(-0.11, -0.64)","(-0.55, -2.43)","(-0.5, -2.48)"
"(-0.11, -0.64)","(-0.51, -2.45)","(-0.5, -2.48)"
"(-0.11, -0.64)","(-0.47, -2.49)","(-0.5, -2.48)"
"(-0.11, -0.64)","(-0.53, -2.44)","(-0.5, -2.48)"
"(-0.11, -0.64)","(-0.45, -2.45)","(-0.5, -2.48)"
"(-0.11, -0.64)","(-0.48, -2.55)","(-0.5, -2.48)"
"(-0.11, -0.64)","(-0.44, -2.39)","(-0.5, -2.48)"
"(0.0, -0.95)","(-0.57, -2.22)","(-0.5, -2.15)"
"(0.0, -0.95)","(-0.44, -2.24)","(-0.5, -2.15)"
"(0.0, -0.95)","(-0.51, -2.13)","(-0.5, -2.15)"
"(0.0, -0.95)","(-0.53, -2.07)","(-0.5, -2.15)"
"(0.0, -0.95)","(-0.59, -2.24)","(-0.5, -2.15)"
"(0.0, -0.95)","(-0.43, -2.13)","(-0.5, -2.15)"
"(0.0, -0.95)","(-0.49, -2.19)","(-0.5, -2.15)"
"(0.0, -0.95)","(-0.48, -2.13)","(-0.5, -2.15)"
"(0.0, -0.95)","(-0.49, -2.17)","(-0.5, -2.15)"
"(0.0, -0.95)","(-0.49, -2.1)","(-0.5, -2.15)"
"(0.0, -0.95)","(-0.53, -2.07)","(-0.5, -2.15)"
"(0.0, -0.95)","(-0.53, -2.19)","(-0.5, -2.15)"
"(0.0, -0.95)","(-0.43, -2.2)","(-0.5, -2.15)"
"(0.0, -0.95)","(-0.51, -2.21)","(-0.5, -2.15)"
"(0.0, -0.95)","(-0.54, -2.16)","(-0.5, -2.15)"
"(0.0, -0.95)","(-0.5, -2.14)","(-0.5, -2.15)"
"(0.0, -0.95)","(-0.52, -2.14)","(-0.5, -2.15)"
"(0.0, -0.95)","(-0.56, -2.22)","(-0.5, -2.15)"
"(0.0, -0.95)","(-0.52, -2.12)","(-0.5, -2.15)"
"(0.0, -0.95)","(-0.52, -2.06)","(-0.5, -2.15)"
"(0.2, -1.21)","(-0.56, -1.8)","(-0.5, -1.82)"
"(0.2, -1.21)","(-0.58, -1.76)","(-0.5, -1.82)"
"(0.2, -1.21)","(-0.44, -1.82)","(-0.5, -1.82)"
"(0.2, -1.21)","(-0.51, -1.79)","(-0.5, -1.82)"
"(0.2, -1.21)","(-0.55, -1.89)","(-0.5, -1.82)"
"(0.2, -1.21)","(-0.55, -1.78)","(-0.5, -1.82)"
"(0.2, -1.21)","(-0.49, -1.81)","(-0.5, -1.82)"
"(0.2, -1.21)","(-0.55, -1.82)","(-0.5, -1.82)"
"(0.2, -1.21)","(-0.4, -1.74)","(-0.5, -1.82)"
"(0.2, -1.21)","(-0.52, -1.88)","(-0.5, -1.82)"
"(0.2, -1.21)","(-0.52, -1.78)","(-0.5, -1.82)"
"(0.2, -1.21)","(-0.5, -1.77)","(-0.5, -1.82)"
"(0.2, -1.21)","(-0.4, -1.75)","(-0.5, -1.82)"
"(0.2, -1.21)","(-0.58, -1.88)","(-0.5, -1.82)"
"(0.2, -1.21)","(-0.53, -1.74)","(-0.5, -1.82)"
"(0.2, -1.21)","(-0.56, -1.77)","(-0.5, -1.82)"
"(0.2, -1.21)","(-0.53, -1.89)","(-0.5, -1.82)"
"(0.2, -1.21)","(-0.42, -1.82)","(-0.5, -1.82)"
"(0.2, -1.21)","(-0.45, -1.77)","(-0.5, -1.82)"
"(0.2, -1.21)","(-0.48, -1.9)","(-0.5, -1.82)"
"(0.48, -1.39)","(-0.57, -1.47)","(-0.5, -1.49)"
"(0.48, -1.39)","(-0.53, -1.52)","(-0.5, -1.49)"
"(0.48, -1.39)","(-0.43, -1.53)","(-0.5, -1.49)"
"(0.48, -1.39)","(-0.58, -1.52)","(-0.5, -1.49)"
"(0.48, -1.39)","(-0.47, -1.51)","(-0.5, -1.49)"
"(0.48, -1.39)","(-0.55, -1.45)","(-0.5, -1.49)"
"(0.48, -1.39)","(-0.44, -1.4)","(-0.5, -1.49)"
"(0.48, -1.39)","(-0.4, -1.47)","(-0.5, -1.49)"
"(0.48, -1.39)","(-0.4, -1.59)","(-0.5, -1.49)"
"(0.48, -1.39)","(-0.44, -1.41)","(-0.5, -1.49)"
"(0.48, -1.39)","(-0.48, -1.5)","(-0.5, -1.49)"
"(0.48, -1.39)","(-0.57, -1.57)","(-0.5, -1.49)"
"(0.48, -1.39)","(-0.57, -1.39)","(-0.5, -1.49)"
"(0.48, -1.39)","(-0.53, -1.47)","(-0.5, -1.49)"
"(0.48, -1.39)","(-0.42, -1.48)","(-0.5, -1.49)"
"(0.48, -1.39)","(-0.48, -1.55)","(-0.5, -1.49)"
"(0.48, -1.39)","(-0.54, -1.59)","(-0.5, -1.49)"
"(0.48, -1.39)","(-0.4, -1.53)","(-0.5, -1.49)"
"(0.48, -1.39)","(-0.41, -1.55)","(-0.5, -1.49)"
"(0.48, -1.39)","(-0.53, -1.39)","(-0.5, -1.49)"
"(0.8, -1.47)","(-0.45, -1.12)","(-0.5, -1.16)"
"(0.8, -1.47)","(-0.53, -1.21)","(-0.5, -1.16)"
"(0.8, -1.47)","(-0.4, -1.17)","(-0.5, -1.16)"
"(0.8, -1.47)","(-0.54, -1.26)","(-0.5, -1.16)"
"(0.8, -1.47)","(-0.46, -1.1)","(-0.5, -1.16)"
"(0.8, -1.47)","(-0.55, -1.15)","(-0.5, -1.16)"
"(0.8, -1.47)","(-0.44, -1.11)","(-0.5, -1.16)"
"(0.8, -1.47)","(-0.54, -1.07)","(-0.5, -1.16)"
"(0.8, -1.47)","(-0.44, -1.06)","(-0.5, -1.16)"
"(0.8, -1.47)","(-0.58, -1.14)","(-0.5, -1.16)"
"(0.8, -1.47)","(-0.47, -1.14)","(-0.5, -1.16)"
"(0.8, -1.47)","(-0.45, -1.1)","(-0.5, -1.16)"
"(0.8, -1.47)","(-0.54, -1.13)","(-0.5, -1.16)"
"(0.8, -1.47)","(-0.47, -1.09)","(-0.5, -1.16)"
"(0.8, -1.47)","(-0.42, -1.17)","(-0.5, -1.16)"
"(0.8, -1.47)","(-0.58, -1.06)","(-0.5, -1.16)"
"(0.8, -1.47)","(-0.52, -1.06)","(-0.5, -1.16)"
"(0.8, -1.47)","(-0.55, -1.13)","(-0.5, -1.16)"
"(0.8, -1.47)","(-0.54, -1.16)","(-0.5, -1.16)"
"(0.8, -1.47)","(-0.42, -1.25)","(-0.5, -1.16)"
"(1.12, -1.45)","(-0.48, -0.85)","(-0.5, -0.83)"
"(1.12, -1.45)","(-0.59, -0.92)","(-0.5, -0.83)"
"(1.12, -1.45)","(-0.45, -0.84)","(-0.5, -0.83)"
"(1.12, -1.45)","(-0.56, -0.74)","(-0.5, -0.83)"
"(1.12, -1.45)","(-0.41, -0.91)","(-0.5, -0.83)"
"(1.12, -1.45)","(-0.57, -0.76)","(-0.5, -0.83)"
"(1.12, -1.45)","(-0.41, -0.77)","(-0.5, -0.83)"
"(1.12, -1.45)","(-0.51, -0.88)","(-0.5, -0.83)"
"(1.12, -1.45)","(-0.57, -0.9)","(-0.5, -0.83)"
"(1.12, -1.45)","(-0.41, -0.86)","(-0.5, -0.83)"
"(1.12, -1.45)","(-0.44, -0.84)","(-0.5, -0.83)"
"(1.12, -1.45)","(-0.44, -0.81)","(-0.5, -0.83)"
"(1.12, -1.45)","(-0.44, -0.83)","(-0.5, -0.83)"
"(1.12, -1.45)","(-0.55, -0.8)","(-0.5, -0.83)"
"(1.12, -1.45)","(-0.52, -0.82)","(-0.5, -0.83)"
"(1.12, -1.45)","(-0.47, -0.92)","(-0.5, -0.83)"
"(1.12, -1.45)","(-0.49, -0.79)","(-0.5, -0.83)"
"(1.12, -1.45)","(-0.54, -0.73)","(-0.5, -0.83)"
"(1.12, -1.45)","(-0.56, -0.88)","(-0.5, -0.83)"
"(1.12, -1.45)","(-0.52, -0.9)","(-0.5, -0.83)"
"(1.43, -1.31)","(-0.44, -0.57)","(-0.5, -0.5)"
"(1.43, -1.31)","(-0.52, -0.54)","(-0.5, -0.5)"
"(1.43, -1.31)","(-0.52, -0.47)","(-0.5, -0.5)"
"(1.43, -1.31)","(-0.58, -0.44)","(-0.5, -0.5)"
"(1.43, -1.31)","(-0.49, -0.44)","(-0.5, -0.5)"
"(1.43, -1.31)","(-0.59, -0.52)","(-0.5, -0.5)"
"(1.43, -1.31)","(-0.45, -0.5)","(-0.5, -0.5)"
"(1.43, -1.31)","(-0.59, -0.43)","(-0.5, -0.5)"
"(1.43, -1.31)","(-0.55, -0.52)","(-0.5, -0.5)"
"(1.43, -1.31)","(-0.42, -0.46)","(-0.5, -0.5)"
"(1.43, -1.31)","(-0.54, -0.48)","(-0.5, -0.5)"
"(1.43, -1.31)","(-0.48, -0.54)","(-0.5, -0.5)"
"(1.43, -1.31)","(-0.56, -0.56)","(-0.5, -0.5)"
"(1.43, -1.31)","(-0.42, -0.53)","(-0.5, -0.5)"
"(1.43, -1.31)","(-0.46, -0.4)","(-0.5, -0.5)"
"(1.43, -1.31)","(-0.5, -0.46)","(-0.5, -0.5)"
"(1.43, -1.31)","(-0.54, -0.51)","(-0.5, -0.5)"
"(1.43, -1.31)","(-0.57, -0.54)","(-0.5, -0.5)"
"(1.43, -1.31)","(-0.4, -0.52)","(-0.5, -0.5)"
"(1.43, -1.31)","(-0.49, -0.45)","(-0.5, -0.5)"
"(1.67, -1.09)","(-0.53, -0.13)","(-0.5, -0.17)"
"(1.67, -1.09)","(-0.59, -0.26)","(-0.5, -0.17)"
"(1.67, -1.09)","(-0.58, -0.17)","(-0.5, -0.17)"
"(1.67, -1.09)","(-0.53, -0.25)","(-0.5, -0.17)"
"(1.67, -1.09)","(-0.53, -0.26)","(-0.5, -0.17)"
"(1.67, -1.09)","(-0.58, -0.21)","(-0.5, -0.17)"
"(1.67, -1.09)","(-0.45, -0.18)","(-0.5, -0.17)"
"(1.67, -1.09)","(-0.52, -0.09)","(-0.5, -0.17)"
"(1.67, -1.09)","(-0.55, -0.2)","(-0.5, -0.17)"
"(1.67, -1.09)","(-0.52, -0.25)","(-0.5, -0.17)"
"(1.67, -1.09)","(-0.49, -0.11)","(-0.5, -0.17)"
"(1.67, -1.09)","(-0.41, -0.14)","(-0.5, -0.17)"
"(1.67, -1.09)","(-0.59, -0.11)","(-0.5, -0.17)"
"(1.67, -1.09)","(-0.54, -0.19)","(-0.5, -0.17)"
"(1.67, -1.09)","(-0.41, -0.26)","(-0.5, -0.17)"
"(1.67, -1.09)","(-0.5, -0.12)","(-0.5, -0.17)"
"(1.67, -1.09)","(-0.57, -0.26)","(-0.5, -0.17)"
"(1.67, -1.09)","(-0.59, -0.22)","(-0.5, -0.17)"
"(1.67, -1.09)","(-0.42, -0.11)","(-0.5, -0.17)"
"(1.67, -1.09)","(-0.54, -0.18)","(-0.5, -0.17)"
"(1.83, -0.8)","(-0.52, 0.21)","(-0.5, 0.17)"
"(1.83, -0.8)","(-0.48, 0.18)","(-0.5, 0.17)"
"(1.83, -0.8)","(-0.5, 0.18)","(-0.5, 0.17)"
"(1.83, -0.8)","(-0.44, 0.11)","(-0.5, 0.17)"
"(1.83, -0.8)","(-0.58, 0.25)","(-0.5, 0.17)"
"(1.83, -0.8)","(-0.54, 0.23)","(-0.5, 0.17)"
"(1.83, -0.8)","(-0.57, 0.07)","(-0.5, 0.17)"
"(1.83, -0.8)","(-0.45, 0.26)","(-0.5, 0.17)"
"(1.83, -0.8)","(-0.51, 0.24)","(-0.5, 0.17)"
"(1.83, -0.8)","(-0.43, 0.2)","(-0.5, 0.17)"
"(1.83, -0.8)","(-0.45, 0.17)","(-0.5, 0.17)"
"(1.83, -0.8)","(-0.58, 0.15)","(-0.5, 0.17)"
"(1.83, -0.8)","(-0.54, 0.13)","(-0.5, 0.17)"
"(1.83, -0.8)","(-0.41, 0.11)","(-0.5, 0.17)"
"(1.83, -0.8)","(-0.57, 0.18)","(-0.5, 0.17)"
"(1.83, -0.8)","(-0.43, 0.23)","(-0.5, 0.17)"
"(1.83, -0.8)","(-0.59, 0.18)","(-0.5, 0.17)"
"(1.83, -0.8)","(-0.55, 0.16)","(-0.5, 0.17)"
"(1.83, -0.8)","(-0.58, 0.13)","(-0.5, 0.17)"
"(1.83, -0.8)","(-0.47, 0.14)","(-0.5, 0.17)"
"(1.88, -0.48)","(-0.54, 0.51)","(-0.5, 0.5)"
"(1.88, -0.48)","(-0.44, 0.47)","(-0.5, 0.5)"
"(1.88, -0.48)","(-0.55, 0.45)","(-0.5, 0.5)"
"(1.88, -0.48)","(-0.57, 0.42)","(-0.5, 0.5)"
"(1.88, -0.48)","(-0.56, 0.41)","(-0.5, 0.5)"
"(1.88, -0.48)","(-0.55, 0.44)","(-0.5, 0.5)"
"(1.88, -0.48)","(-0.53, 0.51)","(-0.5, 0.5)"
"(1.88, -0.48)","(-0.48, 0.49)","(-0.5, 0.5)"
"(1.88, -0.48)","(-0.55, 0.42)","(-0.5, 0.5)"
"(1.88, -0.48)","(-0.54, 0.43)","(-0.5, 0.5)"
"(1.88, -0.48)","(-0.44, 0.41)","(-0.5, 0.5)"
"(1.88, -0.48)","(-0.46, 0.48)","(-0.5, 0.5)"
"(1.88, -0.48)","(-0.58, 0.49)","(-0.5, 0.5)"
"(1.88, -0.48)","(-0.42, 0.47)","(-0.5, 0.5)"
"(1.88, -0.48)","(-0.46, 0.42)","(-0.5, 0.5)"
"(1.88, -0.48)","(-0.5, 0.52)","(-0.5, 0.5)"
"(1.88, -0.48)","(-0.43, 0.54)","(-0.5, 0.5)"
"(1.88, -0.48)","(-0.51, 0.45)","(-0.5, 0.5)"
"(1.88, -0.48)","(-0.46, 0.43)","(-0.5, 0.5)"
"(1.88, -0.48)","(-0.54, 0.42)","(-0.5, 0.5)"
"(1.83, -0.15)","(-0.58, 0.84)","(-0.5, 0.83)"
"(1.83, -0.15)","(-0.5, 0.85)","(-0.5, 0.83)"
"(1.83, -0.15)","(-0.53, 0.92)","(-0.5, 0.83)"
"(1.83, -0.15)","(-0.58, 0.76)","(-0.5, 0.83)"
"(1.83, -0.15)","(-0.59, 0.9)","(-0.5, 0.83)"
"(1.83, -0.15)","(-0.59, 0.92)","(-0.5, 0.83)"
"(1.83, -0.15)","(-0.59, 0.76)","(-0.5, 0.83)"
"(1.83, -0.15)","(-0.57, 0.82)","(-0.5, 0.83)"
"(1.83, -0.15)","(-0.45, 0.83)","(-0.5, 0.83)"
"(1.83, -0.15)","(-0.45, 0.89)","(-0.5, 0.83)"
"(1.83, -0.15)","(-0.47, 0.76)","(-0.5, 0.83)"
"(1.83, -0.15)","(-0.57, 0.88)","(-0.5, 0.83)"
"(1.83, -0.15)","(-0.45, 0.76)","(-0.5, 0.83)"
"(1.83, -0.15)","(-0.51, 0.74)","(-0.5, 0.83)"
"(1.83, -0.15)","(-0.49, 0.82)","(-0.5, 0.83)"
"(1.83, -0.15)","(-0.54, 0.89)","(-0.5, 0.83)"
"(1.83, -0.15)","(-0.45, 0.77)","(-0.5, 0.83)"
"(1.83, -0.15)","(-0.43, 0.91)","(-0.5, 0.83)"
"(1.83, -0.15)","(-0.54, 0.79)","(-0.5, 0.83)"
"(1.83, -0.15)","(-0.48, 0.76)","(-0.5, 0.83)"
"(1.67, 0.14)","(-0.44, 1.2)","(-0.5, 1.16)"
"(1.67, 0.14)","(-0.59, 1.11)","(-0.5, 1.16)"
"(1.67, 0.14)","(-0.41, 1.2)","(-0.5, 1.16)"
"(1.67, 0.14)","(-0.49, 1.1)","(-0.5, 1.16)"
"(1.67, 0.14)","(-0.54, 1.07)","(-0.5, 1.16)"
"(1.67, 0.14)","(-0.55, 1.25)","(-0.5, 1.16)"
"(1.67, 0.14)","(-0.45, 1.14)","(-0.5, 1.16)"
"(1.67, 0.14)","(-0.56, 1.19)","(-0.5, 1.16)"
"(1.67, 0.14)","(-0.46, 1.09)","(-0.5, 1.16)"
"(1.67, 0.14)","(-0.53, 1.25)","(-0.5, 1.16)"
"(1.67, 0.14)","(-0.57, 1.06)","(-0.5, 1.16)"
"(1.67, 0.14)","(-0.53, 1.09)","(-0.5, 1.16)"
"(1.67, 0.14)","(-0.54, 1.25)","(-0.5, 1.16)"
"(1.67, 0.14)","(-0.44, 1.1)","(-0.5, 1.16)"
"(1.67, 0.14)","(-0.59, 1.22)","(-0.5, 1.16)"
"(1.67, 0.14)","(-0.55, 1.21)","(-0.5, 1.16)"
"(1.67, 0.14)","(-0.48, 1.2)","(-0.5, 1.16)"
"(1.67, 0.14)","(-0.41, 1.13)","(-0.5, 1.16)"
"(1.67, 0.14)","(-0.57, 1.21)","(-0.5, 1.16)"
"(1.67, 0.14)","(-0.43, 1.23)","(-0.5, 1.16)"
"(1.43, 0.36)","(-0.42, 1.55)","(-0.5, 1.49)"
"(1.43, 0.36)","(-0.42, 1.43)","(-0.5, 1.49)"
"(1.43, 0.36)","(-0.42, 1.57)","(-0.5, 1.49)"
"(1.43, 0.36)","(-0.4, 1.46)","(-0.5, 1.49)"
"(1.43, 0.36)","(-0.41, 1.54)","(-0.5, 1.49)"
"(1.43, 0.36)","(-0.56, 1.53)","(-0.5, 1.49)"
"(1.43, 0.36)","(-0.51, 1.55)","(-0.5, 1.49)"
"(1.43, 0.36)","(-0.57, 1.54)","(-0.5, 1.49)"
"(1.43, 0.36)","(-0.49, 1.49)","(-0.5, 1.49)"
"(1.43, 0.36)","(-0.48, 1.5)","(-0.5, 1.49)"
"(1.43, 0.36)","(-0.48, 1.47)","(-0.5, 1.49)"
"(1.43, 0.36)","(-0.48, 1.54)","(-0.5, 1.49)"
"(1.43, 0.36)","(-0.55, 1.49)","(-0.5, 1.49)"
"(1.43, 0.36)","(-0.57, 1.54)","(-0.5, 1.49)"
"(1.43, 0.36)","(-0.43, 1.53)","(-0.5, 1.49)"
"(1.43, 0.36)","(-0.59, 1.4)","(-0.5, 1.49)"
"(1.43, 0.36)","(-0.46, 1.46)","(-0.5, 1.49)"
"(1.43, 0.36)","(-0.42, 1.59)","(-0.5, 1.49)"
"(1.43, 0.36)","(-0.41, 1.54)","(-0.5, 1.49)"
"(1.43, 0.36)","(-0.59, 1.45)","(-0.5, 1.49)"
"(1.12, 0.49)","(-0.5, 1.9)","(-0.5, 1.82)"
"(1.12, 0.49)","(-0.4, 1.89)","(-0.5, 1.82)"
"(1.12, 0.49)","(-0.49, 1.76)","(-0.5, 1.82)"
"(1.12, 0.49)","(-0.5, 1.73)","(-0.5, 1.82)"
"(1.12, 0.49)","(-0.59, 1.89)","(-0.5, 1.82)"
"(1.12, 0.49)","(-0.51, 1.91)","(-0.5, 1.82)"
"(1.12, 0.49)","(-0.51, 1.83)","(-0.5, 1.82)"
"(1.12, 0.49)","(-0.45, 1.79)","(-0.5, 1.82)"
"(1.12, 0.49)","(-0.55, 1.85)","(-0.5, 1.82)"
"(1.12, 0.49)","(-0.57, 1.77)","(-0.5, 1.82)"
"(1.12, 0.49)","(-0.42, 1.79)","(-0.5, 1.82)"
"(1.12, 0.49)","(-0.52, 1.78)","(-0.5, 1.82)"
"(1.12, 0.49)","(-0.49, 1.85)","(-0.5, 1.82)"
"(1.12, 0.49)","(-0.48, 1.9)","(-0.5, 1.82)"
"(1.12, 0.49)","(-0.4, 1.87)","(-0.5, 1.82)"
"(1.12, 0.49)","(-0.59, 1.89)","(-0.5, 1.82)"
"(1.12, 0.49)","(-0.47, 1.75)","(-0.5, 1.82)"
"(1.12, 0.49)","(-0.45, 1.8)","(-0.5, 1.82)"
"(1.12, 0.49)","(-0.55, 1.74)","(-0.5, 1.82)"
"(1.12, 0.49)","(-0.6, 1.75)","(-0.5, 1.82)"
"(0.8, 0.52)","(-0.4, 2.17)","(-0.5, 2.15)"
"(0.8, 0.52)","(-0.52, 2.08)","(-0.5, 2.15)"
"(0.8, 0.52)","(-0.4, 2.16)","(-0.5, 2.15)"
"(0.8, 0.52)","(-0.55, 2.25)","(-0.5, 2.15)"
"(0.8, 0.52)","(-0.5, 2.17)","(-0.5, 2.15)"
"(0.8, 0.52)","(-0.56, 2.2)","(-0.5, 2.15)"
"(0.8, 0.52)","(-0.54, 2.07)","(-0.5, 2.15)"
"(0.8, 0.52)","(-0.58, 2.06)","(-0.5, 2.15)"
"(0.8, 0.52)","(-0.54, 2.21)","(-0.5, 2.15)"
"(0.8, 0.52)","(-0.52, 2.14)","(-0.5, 2.15)"
"(0.8, 0.52)","(-0.53, 2.06)","(-0.5, 2.15)"
"(0.8, 0.52)","(-0.56, 2.24)","(-0.5, 2.15)"
"(0.8, 0.52)","(-0.5, 2.16)","(-0.5, 2.15)"
"(0.8, 0.52)","(-0.54, 2.25)","(-0.5, 2.15)"
"(0.8, 0.52)","(-0.42, 2.23)","(-0.5, 2.15)"
"(0.8, 0.52)","(-0.43, 2.15)","(-0.5, 2.15)"
"(0.8, 0.52)","(-0.56, 2.18)","(-0.5, 2.15)"
"(0.8, 0.52)","(-0.48, 2.21)","(-0.5, 2.15)"
"(0.8, 0.52)","(-0.54, 2.16)","(-0.5, 2.15)"
"(0.8, 0.52)","(-0.55, 2.21)","(-0.5, 2.15)"
"(0.48, 0.44)","(-0.54, 2.39)","(-0.5, 2.48)"
"(0.48, 0.44)","(-0.52, 2.56)","(-0.5, 2.48)"
"(0.48, 0.44)","(-0.49, 2.47)","(-0.5, 2.48)"
"(0.48, 0.44)","(-0.45, 2.56)","(-0.5, 2.48)"
"(0.48, 0.44)","(-0.42, 2.48)","(-0.5, 2.48)"
"(0.48, 0.44)","(-0.51, 2.57)","(-0.5, 2.48)"
"(0.48, 0.44)","(-0.45, 2.57)","(-0.5, 2.48)"
"(0.48, 0.44)","(-0.55, 2.52)","(-0.5, 2.48)"
"(0.48, 0.44)","(-0.52, 2.51)","(-0.5, 2.48)"
"(0.48, 0.44)","(-0.47, 2.4)","(-0.5, 2.48)"
"(0.48, 0.44)","(-0.56, 2.53)","(-0.5, 2.48)"
"(0.48, 0.44)","(-0.59, 2.46)","(-0.5, 2.48)"
"(0.48, 0.44)","(-0.53, 2.54)","(-0.5, 2.48)"
"(0.48, 0.44)","(-0.52, 2.55)","(-0.5, 2.48)"
"(0.48, 0.44)","(-0.48, 2.49)","(-0.5, 2.48)"
"(0.48, 0.44)","(-0.56, 2.49)","(-0.5, 2.48)"
"(0.48, 0.44)","(-0.57, 2.41)","(-0.5, 2.48)"
"(0.48, 0.44)","(-0.48, 2.49)","(-0.5, 2.48)"
"(0.48, 0.44)","(-0.59, 2.56)","(-0.5, 2.48)"
"(0.48, 0.44)","(-0.48, 2.39)","(-0.5, 2.48)"
"(0.2, 0.26)","(-0.47, 2.88)","(-0.5, 2.81)"
"(0.2, 0.26)","(-0.59, 2.84)","(-0.5, 2.81)"
"(0.2, 0.26)","(-0.5, 2.88)","(-0.5, 2.81)"
"(0.2, 0.26)","(-0.45, 2.74)","(-0.5, 2.81)"
"(0.2, 0.26)","(-0.45, 2.88)","(-0.5, 2.81)"
"(0.2, 0.26)","(-0.45, 2.74)","(-0.5, 2.81)"
"(0.2, 0.26)","(-0.58, 2.86)","(-0.5, 2.81)"
"(0.2, 0.26)","(-0.46, 2.87)","(-0.5, 2.81)"
"(0.2, 0.26)","(-0.59, 2.75)","(-0.5, 2.81)"
"(0.2, 0.26)","(-0.43, 2.79)","(-0.5, 2.81)"
"(0.2, 0.26)","(-0.44, 2.79)","(-0.5, 2.81)"
"(0.2, 0.26)","(-0.4, 2.9)","(-0.5, 2.81)"
"(0.2, 0.26)","(-0.46, 2.75)","(-0.5, 2.81)"
"(0.2, 0.26)","(-0.5, 2.85)","(-0.5, 2.81)"
"(0.2, 0.26)","(-0.46, 2.79)","(-0.5, 2.81)"
"(0.2, 0.26)","(-0.58, 2.8)","(-0.5, 2.81)"
"(0.2, 0.26)","(-0.51, 2.85)","(-0.5, 2.81)"
"(0.2, 0.26)","(-0.4, 2.88)","(-0.5, 2.81)"
"(0.2, 0.26)","(-0.54, 2.75)","(-0.5, 2.81)"
"(0.2, 0.26)","(-0.53, 2.76)","(-0.5, 2.81)"
"(0.0, 0.0)","(-0.41, 3.09)","(-0.5, 3.14)"
"(0.0, 0.0)","(-0.46, 3.07)","(-0.5, 3.14)"
"(0.0, 0.0)","(-0.48, 3.04)","(-0.5, 3.14)"
"(0.0, 0.0)","(-0.46, 3.14)","(-0.5, 3.14)"
"(0.0, 0.0)","(-0.41, 3.23)","(-0.5, 3.14)"
"(0.0, 0.0)","(-0.43, 3.22)","(-0.5, 3.14)"
"(0.0, 0.0)","(-0.49, 3.22)","(-0.5, 3.14)"
"(0.0, 0.0)","(-0.46, 3.17)","(-0.5, 3.14)"
"(0.0, 0.0)","(-0.44, 3.14)","(-0.5, 3.14)"
"(0.0, 0.0)","(-0.41, 3.23)","(-0.5, 3.14)"
"(0.0, 0.0)","(-0.46, 3.1)","(-0.5, 3.14)"
"(0.0, 0.0)","(-0.44, 3.13)","(-0.5, 3.14)"
"(0.0, 0.0)","(-0.59, 3.11)","(-0.5, 3.14)"
"(0.0, 0.0)","(-0.43, 3.17)","(-0.5, 3.14)"
"(0.0, 0.0)","(-0.46, 3.07)","(-0.5, 3.14)"
"(0.0, 0.0)","(-0.44, 3.11)","(-0.5, 3.14)"
"(0.0, 0.0)","(-0.43, 3.17)","(-0.5, 3.14)"
"(0.0, 0.0)","(-0.43, 3.13)","(-0.5, 3.14)"
"(0.0, 0.0)","(-0.47, 3.16)","(-0.5, 3.14)"
"(0.0, 0.0)","(-0.59, 3.21)","(-0.5, 3.14)"
"(-0.0, -0.0)","(-0.17, -3.11)","(-0.17, -3.14)"
"(-0.0, -0.0)","(-0.24, -3.06)","(-0.17, -3.14)"
"(-0.0, -0.0)","(-0.15, -3.08)","(-0.17, -3.14)"
"(-0.0, -0.0)","(-0.11, -3.08)","(-0.17, -3.14)"
"(-0.0, -0.0)","(-0.12, -3.07)","(-0.17, -3.14)"
"(-0.0, -0.0)","(-0.08, -3.17)","(-0.17, -3.14)"
"(-0.0, -0.0)","(-0.21, -3.14)","(-0.17, -3.14)"
"(-0.0, -0.0)","(-0.08, -3.22)","(-0.17, -3.14)"
"(-0.0, -0.0)","(-0.13, -3.05)","(-0.17, -3.14)"
"(-0.0, -0.0)","(-0.12, -3.05)","(-0.17, -3.14)"
"(-0.0, -0.0)","(-0.11, -3.12)","(-0.17, -3.14)"
"(-0.0, -0.0)","(-0.26, -3.06)","(-0.17, -3.14)"
"(-0.0, -0.0)","(-0.21, -3.13)","(-0.17, -3.14)"
"(-0.0, -0.0)","(-0.19, -3.14)","(-0.17, -3.14)"
"(-0.0, -0.0)","(-0.22, -3.2)","(-0.17, -3.14)"
"(-0.0, -0.0)","(-0.12, -3.2)","(-0.17, -3.14)"
