input position,input joint,output joint
"(-0.05, 0.32)","(-3.22, -2.74)","(-3.14, -2.81)"
"(-0.21, 0.61)","(-3.22, -2.52)","(-3.14, -2.48)"
"(-0.21, 0.61)","(-3.06, -2.45)","(-3.14, -2.48)"
"(-0.21, 0.61)","(-3.21, -2.57)","(-3.14, -2.48)"
"(-0.21, 0.61)","(-3.21, -2.45)","(-3.14, -2.48)"
"(-0.21, 0.61)","(-3.15, -2.48)","(-3.14, -2.48)"
"(-0.21, 0.61)","(-3.06, -2.51)","(-3.14, -2.48)"
"(-0.21, 0.61)","(-3.24, -2.45)","(-3.14, -2.48)"
"(-0.21, 0.61)","(-3.19, -2.5)","(-3.14, -2.48)"
"(-0.21, 0.61)","(-3.07, -2.4)","(-3.14, -2.48)"
"(-0.21, 0.61)","(-3.16, -2.44)","(-3.14, -2.48)"
"(-0.21, 0.61)","(-3.24, -2.44)","(-3.14, -2.48)"
"(-0.21, 0.61)","(-3.13, -2.53)","(-3.14, -2.48)"
"(-0.21, 0.61)","(-3.08, -2.58)","(-3.14, -2.48)"
"(-0.21, 0.61)","(-3.13, -2.46)","(-3.14, -2.48)"
"(-0.21, 0.61)","(-3.1, -2.54)","(-3.14, -2.48)"
"(-0.21, 0.61)","(-3.14, -2.54)","(-3.14, -2.48)"
"(-0.21, 0.61)","(-3.1, -2.48)","(-3.14, -2.48)"
"(-0.21, 0.61)","(-3.18, -2.45)","(-3.14, -2.48)"
"(-0.21, 0.61)","(-3.09, -2.41)","(-3.14, -2.48)"
"(-0.21, 0.61)","(-3.09, -2.57)","(-3.14, -2.48)"
"(-0.45, 0.84)","(-3.13, -2.21)","(-3.14, -2.15)"
"(-0.45, 0.84)","(-3.18, -2.23)","(-3.14, -2.15)"
"(-0.45, 0.84)","(-3.15, -2.08)","(-3.14, -2.15)"
"(-0.45, 0.84)","(-3.06, -2.24)","(-3.14, -2.15)"
"(-0.45, 0.84)","(-3.18, -2.07)","(-3.14, -2.15)"
"(-0.45, 0.84)","(-3.06, -2.14)","(-3.14, -2.15)"
"(-0.45, 0.84)","(-3.09, -2.08)","(-3.14, -2.15)"
"(-0.45, 0.84)","(-3.06, -2.07)","(-3.14, -2.15)"
"(-0.45, 0.84)","(-3.24, -2.11)","(-3.14, -2.15)"
"(-0.45, 0.84)","(-3.22, -2.09)","(-3.14, -2.15)"
"(-0.45, 0.84)","(-3.16, -2.21)","(-3.14, -2.15)"
"(-0.45, 0.84)","(-3.17, -2.12)","(-3.14, -2.15)"
"(-0.45, 0.84)","(-3.22, -2.08)","(-3.14, -2.15)"
"(-0.45, 0.84)","(-3.23, -2.22)","(-3.14, -2.15)"
"(-0.45, 0.84)","(-3.16, -2.07)","(-3.14, -2.15)"
"(-0.45, 0.84)","(-3.07, -2.21)","(-3.14, -2.15)"
"(-0.45, 0.84)","(-3.12, -2.05)","(-3.14, -2.15)"
"(-0.45, 0.84)","(-3.18, -2.11)","(-3.14, -2.15)"
"(-0.45, 0.84)","(-3.19, -2.25)","(-3.14, -2.15)"
"(-0.45, 0.84)","(-3.13, -2.18)","(-3.14, -2.15)"
"(-0.75, 0.97)","(-3.19, -1.83)","(-3.14, -1.82)"
"(-0.75, 0.97)","(-3.09, -1.78)","(-3.14, -1.82)"
"(-0.75, 0.97)","(-3.13, -1.76)","(-3.14, -1.82)"
"(-0.75, 0.97)","(-3.22, -1.72)","(-3.14, -1.82)"
"(-0.75, 0.97)","(-3.21, -1.79)","(-3.14, -1.82)"
"(-0.75, 0.97)","(-3.05, -1.74)","(-3.14, -1.82)"
"(-0.75, 0.97)","(-3.08, -1.87)","(-3.14, -1.82)"
"(-0.75, 0.97)","(-3.06, -1.91)","(-3.14, -1.82)"
"(-0.75, 0.97)","(-3.19, -1.8)","(-3.14, -1.82)"
"(-0.75, 0.97)","(-3.23, -1.87)","(-3.14, -1.82)"
"(-0.75, 0.97)","(-3.19, -1.72)","(-3.14, -1.82)"
"(-0.75, 0.97)","(-3.2, -1.78)","(-3.14, -1.82)"
"(-0.75, 0.97)","(-3.07, -1.79)","(-3.14, -1.82)"
"(-0.75, 0.97)","(-3.11, -1.86)","(-3.14, -1.82)"
"(-0.75, 0.97)","(-3.13, -1.83)","(-3.14, -1.82)"
"(-0.75, 0.97)","(-3.16, -1.8)","(-3.14, -1.82)"
"(-0.75, 0.97)","(-3.15, -1.74)","(-3.14, -1.82)"
"(-0.75, 0.97)","(-3.07, -1.82)","(-3.14, -1.82)"
"(-0.75, 0.97)","(-3.05, -1.86)","(-3.14, -1.82)"
"(-0.75, 0.97)","(-3.07, -1.77)","(-3.14, -1.82)"
"(-1.08, 1.0)","(-3.21, -1.54)","(-3.14, -1.49)"
"(-1.08, 1.0)","(-3.1, -1.53)","(-3.14, -1.49)"
"(-1.08, 1.0)","(-3.12, -1.41)","(-3.14, -1.49)"
"(-1.08, 1.0)","(-3.14, -1.43)","(-3.14, -1.49)"
"(-1.08, 1.0)","(-3.19, -1.5)","(-3.14, -1.49)"
"(-1.08, 1.0)","(-3.13, -1.53)","(-3.14, -1.49)"
"(-1.08, 1.0)","(-3.09, -1.41)","(-3.14, -1.49)"
"(-1.08, 1.0)","(-3.23, -1.45)","(-3.14, -1.49)"
"(-1.08, 1.0)","(-3.19, -1.55)","(-3.14, -1.49)"
"(-1.08, 1.0)","(-3.21, -1.42)","(-3.14, -1.49)"
"(-1.08, 1.0)","(-3.19, -1.52)","(-3.14, -1.49)"
"(-1.08, 1.0)","(-3.22, -1.43)","(-3.14, -1.49)"
"(-1.08, 1.0)","(-3.23, -1.49)","(-3.14, -1.49)"
"(-1.08, 1.0)","(-3.13, -1.44)","(-3.14, -1.49)"
"(-1.08, 1.0)","(-3.08, -1.45)","(-3.14, -1.49)"
"(-1.08, 1.0)","(-3.23, -1.4)","(-3.14, -1.49)"
"(-1.08, 1.0)","(-3.24, -1.51)","(-3.14, -1.49)"
"(-1.08, 1.0)","(-3.05, -1.48)","(-3.14, -1.49)"
"(-1.08, 1.0)","(-3.18, -1.59)","(-3.14, -1.49)"
"(-1.08, 1.0)","(-3.1, -1.46)","(-3.14, -1.49)"
"(-1.4, 0.92)","(-3.23, -1.23)","(-3.14, -1.16)"
"(-1.4, 0.92)","(-3.09, -1.21)","(-3.14, -1.16)"
"(-1.4, 0.92)","(-3.06, -1.17)","(-3.14, -1.16)"
"(-1.4, 0.92)","(-3.12, -1.08)","(-3.14, -1.16)"
"(-1.4, 0.92)","(-3.16, -1.15)","(-3.14, -1.16)"
"(-1.4, 0.92)","(-3.15, -1.15)","(-3.14, -1.16)"
"(-1.4, 0.92)","(-3.07, -1.18)","(-3.14, -1.16)"
"(-1.4, 0.92)","(-3.07, -1.09)","(-3.14, -1.16)"
"(-1.4, 0.92)","(-3.15, -1.25)","(-3.14, -1.16)"
"(-1.4, 0.92)","(-3.16, -1.09)","(-3.14, -1.16)"
"(-1.4, 0.92)","(-3.16, -1.11)","(-3.14, -1.16)"
"(-1.4, 0.92)","(-3.05, -1.24)","(-3.14, -1.16)"
"(-1.4, 0.92)","(-3.15, -1.16)","(-3.14, -1.16)"
"(-1.4, 0.92)","(-3.23, -1.21)","(-3.14, -1.16)"
"(-1.4, 0.92)","(-3.15, -1.11)","(-3.14, -1.16)"
"(-1.4, 0.92)","(-3.17, -1.21)","(-3.14, -1.16)"
"(-1.4, 0.92)","(-3.17, -1.19)","(-3.14, -1.16)"
"(-1.4, 0.92)","(-3.18, -1.15)","(-3.14, -1.16)"
"(-1.4, 0.92)","(-3.2, -1.11)","(-3.14, -1.16)"
"(-1.4, 0.92)","(-3.22, -1.23)","(-3.14, -1.16)"
"(-1.68, 0.74)","(-3.11, -0.82)","(-3.14, -0.83)"
"(-1.68, 0.74)","(-3.21, -0.87)","(-3.14, -0.83)"
"(-1.68, 0.74)","(-3.09, -0.88)","(-3.14, -0.83)"
"(-1.68, 0.74)","(-3.06, -0.81)","(-3.14, -0.83)"
"(-1.68, 0.74)","(-3.07, -0.82)","(-3.14, -0.83)"
"(-1.68, 0.74)","(-3.22, -0.79)","(-3.14, -0.83)"
"(-1.68, 0.74)","(-3.23, -0.82)","(-3.14, -0.83)"
"(-1.68, 0.74)","(-3.06, -0.92)","(-3.14, -0.83)"
"(-1.68, 0.74)","(-3.17, -0.81)","(-3.14, -0.83)"
"(-1.68, 0.74)","(-3.14, -0.73)","(-3.14, -0.83)"
"(-1.68, 0.74)","(-3.23, -0.87)","(-3.14, -0.83)"
"(-1.68, 0.74)","(-3.15, -0.81)","(-3.14, -0.83)"
"(-1.68, 0.74)","(-3.1, -0.9)","(-3.14, -0.83)"
"(-1.68, 0.74)","(-3.08, -0.79)","(-3.14, -0.83)"
"(-1.68, 0.74)","(-3.16, -0.81)","(-3.14, -0.83)"
"(-1.68, 0.74)","(-3.15, -0.79)","(-3.14, -0.83)"
